No,Kode MK,Mata Kuliah,SKS,Semester,Tahun
1,AW60910042101,Pancasila,2,1,20251
2,AW60910042103,Bahasa Indonesia,2,1,20251
3,AW60910042105,Pendidikan Agama Islam ,2,1,20251
4,AW60910042106,Bahasa Inggris Teknik,2,1,20251
5,CW6232012101,Teknik Presentasi dan Komunikasi Arsitektur,2,1,20251
6,CW6232012102,Perkembangan Arsitektur 1 (Umum),2,1,20251
7,CW6232012103,Pengantar Arsitektur 1 (Umum),2,1,20251
8,CW6232012104,Mekanika Teknik,2,1,20251
9,CW6232012105,Matematika Teknik,2,1,20251
10,CW6232012106,Ilmu Sosial Budaya Dasar (ISBD),2,1,20251
11,AW60910042202,Kewarganegaraan,2,2,20252
12,AW60910042206,AIK II (Peng. Studi Islam & Kemuh. 2),2,2,20252
13,CW6232014201,Studio Perancangan Arsitektur 1,4,2,20252
14,CW6232012202,Perkembangan Arsitektur 2 (Islam),2,2,20252
15,CW6232012203,Pengantar Arsitektur 2 (Islam),2,2,20252
16,CW6232012204,Mekanika Bangunan,2,2,20252
17,CW6232012205,Estetika Bentuk,2,2,20252
18,CW6232012206,Pengantar Teknologi Bahan,2,2,20252
19,CW6232012207,Pengetahuan Lingkungan / AMDAL,2,2,20252
20,AW60910042307,AIK III (Aqidah Islam & Kemuh. 3),2,3,20251
21,CW6232014301,Studio Perancangan Arsitektur 2,4,3,20251
22,CW6232013302,Struktur dan Konstruksi Bangunan 1,3,3,20251
23,CW6232012303,Konstruksi Beton,2,3,20251
24,CW6232012304,Arsitektur Hijau ,2,3,20251
25,CW6232012305,Perancangan Arsitektur Islam ,3,3,20251
26,CW6232013306,Pengukuran dan Pemetaan,3,3,20251
27,CW6232013307,Fisika Bangunan,3,3,20251
28,BW6042302,Etika Profesi Arsitektur,2,3,20251
29,AW60910042408,AIK IV (Al Islam & Kemuhammadiyahan 4),2,4,20252
30,CW6232014401,Studio Perancangan Arsitektur 3,4,4,20252
31,CW6232013402,Struktur dan Konstruksi Bangunan 2,3,4,20252
32,CW6232013403,Perancangan Ruang Dalam,3,4,20252
33,CW6232013404,Perancangan Permukiman,3,4,20252
34,CW6232013405,Pengkondisian Bangunan,3,4,20252
35,CW6232013406,Utilitas Bangunan,3,4,20252
36,CW6232012407,Konstruksi Baja,2,4,20252
37,AW60910040411,Komprehensif AIK,0,4,20252
38,BW6040401,Praktikum Ilmu Falak,0,4,20252
39,CW6232014501,Studio Perancangan Arsitektur 4,4,5,20251
40,CW6232013502,Struktur dan Konstruksi Bangunan 3,3,5,20251
41,CW6232013503,Perancangan Tapak dan Ruang Luar,3,5,20251
42,CW6232013504,Perancangan Arsitektur Kota ,3,5,20251
43,CP6232012501,Arsitektur Digital (Pilihan),2,5,20251
44,CP6232012502,Arsitektur Perilaku (Pilihan),2,5,20251
45,CP6232012503,Arsitektur Inklusif (Pilihan),2,5,20251
46,CP6232012504,Arsitektur Tropis (Pilihan),2,5,20251
47,AW60910040511,Komprehensif AIK,0,5,20251
48,BW6040501,Praktikum Ilmu Falak,0,5,20251
49,CW6232014601,Studio Perancangan Arsitektur 5,4,6,20252
50,CW6232013602,Struktur dan Konstruksi Bangunan 4,3,6,20252
51,BW6042604,Metodologi Penelitian,2,6,20252
52,CW6232012603,Manajemen Proyek,2,6,20252
53,BW6042603,Kepemimpinan dan Kewirausahaan,2,6,20252
54,CP6232012601,Revitalisasi Bangunan & Kawasan (Pilihan),2,6,20252
55,CP6232012602,Teknik Penulisan Artikel Ilmiah (Pilihan),2,6,20252
56,CW6232014701,Studio Perancangan Arsitektur Terpadu,4,7,20251
57,BW6044705,Kuliah Kerja Profesi Plus (KKP-Plus),4,7,20251
58,BW6042706,Seminar Usul,2,7,20251
59,CW6232014801,Laboratorium Tugas Akhir,4,8,20252
60,BW6046807,Tugas Akhir,6,8,20252
