No,Kode MK,Mata Kuliah,SKS,Semester,Tahun
1,AW60910042105,Pendidikan Agama Islam,2,1,20251
2,AW60910042101,Pendidikan Pancasila,2,1,20251
3,CW6220202301,Matematika I,3,1,20251
4,AW60910042103,Bahasa Indonesia,2,1,20251
5,AW60910042106,Bahasa Inggris,2,1,20251
6,CW6220202102,Komputer 1,2,1,20251
7,CW6220203103,Fisika I,3,1,20251
8,CW6220202104,Menggambar Teknik,2,1,20251
9,AW60910042206,AIK II (Peng. Studi Islam & Kemuh. 2),2,2,20252
10,CW6220202201, Mekanika Teknik I,2,2,20252
11,CW6220202302,Matematika II,3,2,20252
12,CW6220202303,Fisika II,3,2,20252
13,CW6220202204,Hidrolika Dasar,2,2,20252
14,AW60910042202,Pendidikan Kewarganegaraan,2,2,20252
15,CW6220202205,Bahasa Inggris Teknik,2,2,20252
16,CW6220202206,Ilmu Ukur Tanah & Pemetaan,2,2,20252
17,CW6220202207,Sains Kebumian (Hidrologi I),2,2,20252
18,AW60910042307,AIK III (Aqidah Islam & Kemuh. 3),2,3,20251
19,CW6220202301,Mekanika Teknik II,2,3,20251
20,CW6220202302,Matematika III,3,3,20251
21,BW6042303,Kepemimpinan & Kewirausahaan,2,3,20251
22,CW6220202303,Hidrolika Terapan,2,3,20251
23,BW6042302,Etika Profesi,2,3,20251
24,CW6220202304,Geologi,2,3,20251
25,CW6220202305,Statistika & Probabilitas,2,3,20251
26,CW6220202306,Hidrologi II,3,3,20251
27,CW6220202307,Pengelolaan Kualitas Jaringan Perpipaan,2,3,20251
28,CW6220202308,Standarisasi Keselamatan Kerja,2,3,20251
29,AW60910042408,AIK IV (Ibadah Khassah & Kemuh. 4),2,4,20252
30,CP6220223401,Matematika IV,3,4,20252
31,CW6220222401,Mekanika Tanah I,2,4,20252
32,CW6220222402,Ekonomi Teknik,2,4,20252
33,CW6220222403,Teknik Lingkungan & AMDAL,2,4,20252
34,CW6220222404,Kimia,2,4,20252
35,CW6220222405,Aplikasi Komputer 2,3,4,20252
36,CW6220222406,Ilmu Tanah & Tanaman,2,4,20252
37,CW6220222407,Konstruksi Beton I,2,4,20252
38,CW6220222408,Konstruksi Baja,2,4,20252
39,CW6220222501,Konstruksi Bendungan I,2,5,20251
40,CP62202220501,Pemindahan Tanah Mekanis,2,5,20251
41,CW6220222502,Manajemen Air,2,5,20251
42,CW6220222503,Pengembangan Sumber Daya Air,2,5,20251
43,CW6220222504,Perencanaan Drainase Kota,2,5,20251
44,CW6220222505,Teknik Pantai,2,5,20251
45,CW6220222506,Konstruksi Beton II,2,5,20251
46,CW6220222507,Teknik Sungai I,2,5,20251
47,CW6220222508,Teknik Pondasi,2,5,20251
48,CW6220222509,Manajemen Konstruksi,2,5,20251
49,BW6042504,Metode Penelitian,2,5,20251
50,CW6222022509,Mekanika Tanah II,2,5,20251
51,CW6220222601,Konstruksi Bendungan II,3,6,20252
52,CW6220222602,Transpor Sedimen,2,6,20252
53,CW6220222603,Bangunan Irigasi,2,6,20252
54,CW6220222604,Jaringan Irigasi,2,6,20252
55,CW6220222605,Reklamasi & Bangunan Pantai,2,6,20252
56,CW6220222606,Pengelolaan Air Tanah,2,6,20252
57,CW6220222607,Perencanaan & Pengelolaan Waduk,2,6,20252
58,,Teknik Sungai II,2,6,20252
59,CW6220222608,Perencanaan PLTA,2,6,20252
60,CW6220222609,Teknik Jalan Raya,2,6,20252
61,BW6044705,KKP-Plus,4,7,20251
62,CW6222024701,Capstone Design,4,7,20251
63,BW6042706,Seminar Usul/Proposal,2,7,20251
64,BW6046707,Skripsi,6,7,20251
65,BW6044705,KKP-Plus,4,8,20252
66,CW6222024701,Capstone Design,4,8,20252
67,BW6042706,Seminar Usul/Proposal,2,8,20252
68,BW6046707,Skripsi,6,8,20252
