No,Kode MK,Mata Kuliah,SKS,Semester,Tahun
1,AW60910042101,Pendidikan Pancasila ,2,1,20251
2,AW60910042103,Bahasa Indonesia,2,1,20251
3,AW60910042106,Bahasa Inggris ,2,1,20251
4,AW60910042105,Pendidikan Agama Islam,2,1,20251
5,CW6202013101,Kalkulus,3,1,20251
6,CW6202013102,Fisika 1,3,1,20251
7,CW6202012103,Ilmu Bahan,2,1,20251
8,CW6202012104,Pengantar Teknik Elektro,2,1,20251
9,AW60910042206,Al Islam Kemuhammadiyahan II,2,2,20252
10,AW60910042202,Pendidikan Kewarganegaraan,2,2,20252
11,CW6202013205,Aljabar Linear,3,2,20252
12,CW6202014206,Fisika II+Praktikum,4,2,20252
13,CW6202012212,Integral Diferensial,2,2,20252
14,CW6202013208,Variabel Kompleks,3,2,20252
15,CW6202012209,Algoritma dan Pemrograman Dasar,2,2,20252
16,CW6202012213,Rangkaian logika,2,2,20252
17,AW60910042307,Al Islam Kemuhammadiyahan III,2,3,20251
18,CW6202013314,Fisika III,3,3,20251
19,CW6202013315,Probabilistik dan Statistik,3,2,20251
20,CW6202012316,Pemrograman Lanjut,2,3,20251
21,CW6202013317,Matematika Teknik,3,3,20251
22,CW6202013318,Rangkaian Listrik I,3,3,20251
23,CW6202013319,Sinyal dan Sistem,3,3,20251
24,CW6202013320,Sistem Komunikasi,3,3,20251
25,CW6202012321,Instrumentasi dan Pengukuran,2,3,20251
26,CW6202010333,Praktikum 1 ,0,3,20251
27,AW6091002408,Al Islam Kemuhammadiyahan IV,2,4,20252
28,AW60910040411,Komprehensif AIK,0,4,20252
29,BW6040401,Praktikum Ilmu Falak,0,4,20252
30,CW6202012422,Metode Numerik,2,4,20252
31,CW6202012423,Kimia,2,4,20252
32,CW6202012424,Dasar Sistem Kontrol,2,4,20252
33,CW6202013425,Elektronika,3,4,20252
34,CW6202013426,Elektromagnetika,2,4,20252
35,CW6202012427,Komunikasi Data dan Jaringan,2,4,20252
36,CW6202012428,Pemrosesan Sinyal Digital,2,4,20252
37,CW6202012429,Pengantar Teknologi IoT,2,4,20252
38,CW6202013430,Rangkaian Listrik II,3,4,20252
39,CW6202012431,Sistem Mikroprosesor,2,4,20252
40,CW6202010434,Praktikum II ,0,4,20252
41,AW60910040511,Komprehensif AIK,0,5,20251
42,BW6040501,Praktikum Ilmu Falak,0,5,20251
43,BW6042503,Kepemimpinan dan Kewirausahaan,2,5,20251
44,CW62020125001L,Manajemen Energi Listrik,2,5,20251
45,CW62020135002L,Elektronika Daya,3,5,20251
46,CW62020135003L,Mesin Listrik,3,5,20251
47,CW62020135004L,Pengoperasian Sistem Tenaga Listrik,3,5,20251
48,CW62020135005L,Perancangan Sistem Kontrol Modern ,3,5,20251
49,CW62020125006L,Sistem Tenaga Listrik,2,5,20251
50,CW62020135007L,Teknik Tegangan Tinggi,3,5,20251
51,CW62020135001EK,Arsitektur dan Organisasi Komputer,3,5,20251
52,CW62020125002EK,Perangkat Semikonduktor,2,5,20251
53,CW62020135003EK,Elektronika Industri dan Robotika,3,5,20251
54,CW62020135004EK,Elektronika Telekomunikasi,3,5,20251
55,CW62020135005EK,Perancangan Sistem Elektronika,3,5,20251
56,CW62020135006EK,Sistem Instrumentasi Elektronika,3,5,20251
57,CW62020135007EK,Embedded System,3,5,20251
58,CW62020135001T,Antena dan Propagasi,3,5,20251
59,CW62020135002T,Elektronika Telekomunikasi,3,5,20251
60,CW62020135003T,Jaringan Telekomunikasi,3,5,20251
61,CW62020135004T,Komunikasi Nirkabel,3,5,20251
62,CW62020135005T,Pengolahan Citra,3,5,20251
63,CW62020125006T,Perangkat Lunak Telekomunikasi,2,5,20251
64,CW62020135007T,Saluran Transmisi,3,5,20251
65,CW6202010534,Praktikum III,0,5,20251
66,BW6042604,Metodologi Penelitian,2,6,20252
67,BW6042602,Etika Profesi,2,6,20252
68,CW6202012632,Manajemen Proyek dan Keselamatan Kerja,2,6,20252
69,CW62020136008L,Analisis Sistem Tenaga Listrik,3,6,20252
70,CW62020126009L,Dinamika dan Stabilitas Sistem Tenaga Listrik,3,6,20252
71,CW62020126010L,Energi Baru dan Terbarukan,2,6,20252
72,CW62020126011L,Instalasi Listrik Modern,2,6,20252
73,CW62020126012L,Kecerdasan Buatan Dalam Sistem Tenaga Listrik,2,6,20252
74,CW62020136013L,Pengaman Tenaga Listrik,3,6,20252
75,CW62020126008EK,Optoelektronika,2,6,20252
76,CW62020136009EK,Perancangan Sistem VLSI,3,6,20252
77,CW62020136010EK,Sistem Elektronika Cerdas,3,6,20252
78,CW62020136011EK,Sistem Kontrol Elektronika,3,6,20252
79,CW62020136012EK,Teknologi Transduser,3,6,20252
80,CW62020126008T,Komunikasi Satelit,2,6,20252
81,CW62020126009T,Komunikasi Serat Optik,2,6,20252
82,CW62020126010T,Radar dan Navigasi,2,6,20252
83,CW62020136011T,Rekayasa Trafik,3,6,20252
84,CW62020136012T,Sistem Komunikasi Cerdas,3,6,20252
85,CW62020136013T,Teori Informasi dan Pengkodean,2,6,20252
86,CW6202010634,Praktikum IV,0,6,20252
87,CW6202014735,Capstone Desain,4,7,20251
88,BW6044705,KKP-Plus,4,7,20251
89,BW6042706,Seminar Usul/Proposal,2,7,20251
90,BW6046707,Skripsi,6,7,20251
91,CW6202014836,Capstone Desain,4,8,20252
92,BW6044805,KKP-Plus,4,8,20252
93,BW6042806,Seminar Usul/Proposal,2,8,20252
94,BW6046807,Skripsi,6,8,20252
