No,Kode MK,Mata Kuliah,SKS,Semester,Tahun
1,AW60910042105,Pendidikan Agama Islam (AIK I),0,1,20251
2,AW60910042103,Bahasa Indonesia ,0,1,20251
3,AW60910042101,Pendidikan Pancasila,0,1,20251
4,AW60910042106,Bahasa Inggris,0,1,20251
5,CW6352012102,Statistik Perencanaan,0,1,20251
6,CW6352014103,Studio Pemetaan dan Presentasi,0,1,20251
7,CW6352012104,Pengantar Perencanaan Wilayah dan Kota,0,1,20251
8,CW6352012105,Komputasi Perencanaan,0,1,20251
9,AW60910042206,Al Islam Kemuhammadiyahan 2,0,2,20252
10,AW60910042202,Pendidikan Kewarganegaraan,0,2,20252
11,CW6352012201,Kalkulus,0,2,20252
12,CW6352014202,Studio Proses Perencanaan,0,2,20252
13,CW6352013203,Teori dan Prinsip Perencanaan,0,2,20252
14,CW6352012204,Pengantar Sumber Daya Alam dan Lingkungan,0,2,20252
15,CW6352013205,Sistem Informasi Perencanaan I,0,2,20252
16,CW6352012206,Sistem Sosial Kependudukan,0,2,20252
17,AW60910042307,Al Islam Kemuhammadiyahan 3,0,3,20251
18,CW6352012301,Geologi dan Tata Lingkungan,0,3,20251
19,CW6352014302,Studio Perencanaan Kawasan,0,3,20251
20,CW6352013303,Sistem Informasi Perencanaan II,0,3,20251
21,CW6352012304,Analisis Sumber Daya Alam dan Lingkungan,0,3,20251
22,CW6352012305,Metode Analisis Perencanaan I,0,3,20251
23,CW6352013306,Sistem Perumahan dan Kawasan Permukiman,0,3,20251
24,CW6352012307,Konsep dan Teori Struktur Ruang,0,3,20251
25,CW6352012308,Teknik Penulisan Ilmiah,0,3,20251
26,CW6352012309,Penataan Ruang Berbasis Mitigasi Bencana,0,3,20251
27,AW60910042408,Al Islam Kemuhammadiyaan 4,0,4,20252
28,AW60910040402,Komprehensif AIK,0,4,20252
29,BW6040401,Pratikum Ilmu Falak,0,4,20252
30,CW6352013401,Analisis Lokasi dan Pola Keruangan,0,4,20252
31,CW6352014402,Studio Perencanaan Kota (Urban Planning),0,4,20252
32,CW6352012403,Prasarana Wilayah dan Kota I,0,4,20252
33,CW6352012404,Metode Analisis Perencanaan II,0,4,20252
34,CW6352013405,Pengantar Transportasi,0,4,20252
35,CW6352013406,Ekonomi Wilayah dan Kota,0,4,20252
36,CW6352012407,Hukum dan Administrasi Perencanaan,0,4,20252
37,CP6352013401,Perencanaan Real Estate,0,4,20252
38,CP6352013402,Perencanaan Bentang Alam Pantai dan Kepulauan,0,4,20252
39,AW60910040501,Komprehensif AIK,0,5,20251
40,BW6042501,Etika Profesi Perencanaan,0,5,20251
41,BW6042502,Kepemimpinan dan Kewirausahaan,0,5,20251
42,CW6352013501,Perencanaan Transportasi,0,5,20251
43,CW6352012502,Teknik Evaluasi Perencanaan,0,5,20251
44,CW6352013503,Perencanaan Tapak,0,5,20251
45,CW6352012504,Pembangunan Masyarakat,0,5,20251
46,CW6352012505,Prasarana Wilayah dan Kota II,0,5,20251
47,CW6352014506,Studio Perencanaan Pembangunan Wilayah,0,5,20251
48,CP6352013501,Perencanaan Kawasan Ekowisata,0,5,20251
49,CP6352013502,Pengendalian Pemanfaatan Ruang (Sistem Zonasi),0,5,20251
50,BW6042601,Metodologi Penelitian,0,6,20252
51,CW6352013601,Manajemen Kelembagaan dan Pembiayaan Pembangunan Wilayah,0,6,20252
52,CW6352013602,Kuliah Kerja Lapangan (KKL),0,6,20252
53,CW6352013603,Perencanaan Perdesaaan,0,6,20252
54,CW6352013604,Perencanaan Pariwisata,0,6,20252
55,CW6352014605,Studio Laboratory Based Education (LBE) (Perencanaan Penelitian),0,6,20252
56,CP6352013601,Perencanaan Kawasan Tepian Air,0,6,20252
57,CP6352013602,Kajian Lingkungan Hidup Strategies,0,6,20252
58,BW6046701,Tugas Akhir,0,7,20251
59,BW6044702,KKP- Plus,0,7,20251
60,BW6042703,Seminar Proposal,0,7,20251
61,CW6352014701,Laboratorium Tugas Akhir,0,7,20251
62,BW6046801,Tugas Akhir,0,8,20252
63,BW6044802,KKP- Plus,0,8,20252
64,BW6042803,Seminar Proposal,0,8,20252
65,CW6352014801,Laboratorium Tugas Akhir,0,8,20252
