program_id,code,title,credits,semester,category,description
1,AW60910042101,Pendidikan Pancasila,2,1,MKDU,
1,AW60910042103,Bahasa Indonesia,2,0,MKDU,
1,AW60910042104,Bahasa Inggris,2,0,MKDU,
1,AW60910042105,Pendidikan Agama,2,0,MKDU,
1,CW6552023101,Matematika Dasar,3,0,BASIC SCIENCE,
1,CW6552022102,Matematika Informatika,2,0,BASIC SCIENCE,
1,CW6552022103,Dasar Algoritma & Pemrograman,2,0,COMPUTER SCIENCE,
1,CW6552021104,Praktikum Dasar Algoritma & Pemrograman,1,0,COMPUTER SCIENCE,
1,CW6552022105,Pengantar Sains dan Informatika,2,0,COMPUTER SCIENCE,
1,CW6552020105,Praktikum Basic Command Line Linux,0,0,COMPUTER SCIENCE,
1,AW60910042206,Al Islam Kemuhammadiyahan II,2,2,MKDU,
1,AW60910042202,Pendidikan Kewarganegaraan,2,0,MKDU,
1,CW6552022206,Eng for Computer Science,2,0,,
1,CW6552022207,Kalkulus,2,0,BASIC SCIENCE,
1,CW6552022208,Aljabar Linear & Matriks,2,0,BASIC SCIENCE,
1,CW6552022209,Algoritma dan Pemrograman Tingkat Lanjut,2,0,COMPUTER SCIENCE,
1,CW6552021210,Praktikum Algoritma dan Pemrograman Tingkat Lanjut,1,0,COMPUTER SCIENCE,
1,CW6552022211,Organisasi dan Arsitektur Komputer (OSK),2,0,COMPUTER SCIENCE,
1,CW6552022212,Dasar Pemrograman Web,2,0,COMPUTER SCIENCE,
1,CW6552021213,Praktikum Dasar Pemrograman Web,1,0,COMPUTER SCIENCE,
1,CW6552022214,Konsep Teknologi Informasi,2,0,COMPUTER SCIENCE,
1,AW60910042307,Al Islam Kemuhammadiyahan III,2,3,MKDU,
1,CW6552022315,Pemodelan dan Metode Numerik,2,0,BASIC SCIENCE,
1,CW6552022316,Aritmatika Komputer,2,0,BASIC SCIENCE,
1,CW6552022317,Struktur Data,2,0,COMPUTER SCIENCE,
1,CW6552021318,Praktikum Struktur Data,0,0,COMPUTER SCIENCE,
1,CW6552022319,Sistem Basis Data Relasional,2,0,COMPUTER SCIENCE,
1,CW6552020320,Praktikum Sistem Basis Data Relasional,0,0,COMPUTER SCIENCE,
1,CW6552022321,Strategi dan Simulasi Algoritma,2,0,COMPUTER SCIENCE,
1,CW6552021322,Praktikum Strategi dan Simulasi Algoritma,1,0,COMPUTER SCIENCE,
1,CW6552022323,Statistika,2,0,BASIC SCIENCE,
1,CW6552022324,Rekayasa Perangkat Lunak Skalabilitas,2,0,COMPUTER SCIENCE,
1,CW6552022325,Jaringan Komputer,2,0,COMPUTER SCIENCE,
1,CW6552020326,Praktikum Jaringan Komputer,1,0,COMPUTER SCIENCE,
1,CW6552022327,Sistem Operasi,2,0,COMPUTER SCIENCE,
1,CW6552022328,Pengantar Komputasi Modern,2,0,COMPUTER SCIENCE,
1,AW60910042408,Al Islam Kemuhammadiyahan IV,2,4,MKDU,
1,CW6552022429,Kecerdasan Buatan,2,0,COMPUTER SCIENCE,
1,CW6552021430,Praktikum Kecerdasan Buatan,1,0,COMPUTER SCIENCE,
1,CW6552022431,Kriptografi,2,0,COMPUTER SCIENCE,
1,CW6552022432,Riset Operasional,2,0,COMPUTER SCIENCE,
1,CW6552022433,Sistem Basis Data Modern,2,0,COMPUTER SCIENCE,
1,CW6552022434,Interaksi Manusia & Komputer,2,0,COMPUTER SCIENCE,
1,CW6552022435,Sistem Informasi Manajemen,2,0,COMPUTER SCIENCE,
1,CW6552022436,Pemrograman WEB,2,0,COMPUTER SCIENCE,
1,CW6552021437,Praktikum Pemrograman WEB,1,0,COMPUTER SCIENCE,
1,CW6552022438,Rekayasa Komputasional,2,0,COMPUTER SCIENCE,
1,CW6552022439,Pengolahan Citra Digital,2,0,COMPUTER SCIENCE,
1,CW6552022440,Sistem Terdistribusi,2,0,COMPUTER SCIENCE,
1,BW6040401,Praktikum Ilmu Falak,0,0,,
1,CW6552022541,Desain dan Analisis Algoritma,2,5,COMPUTER SCIENCE,
1,CW6552022542,Grafik Komputer,2,0,COMPUTER SCIENCE,
1,CW6552022543,Teori Bahasa dan Otomata,2,0,COMPUTER SCIENCE,
1,CP6552022544,Standarisasi Keselamatan Kerja,2,0,COMPUTER SCIENCE,
1,BW6042502,Etika Profesi,2,0,,
1,BW6042503,Technopreneurship (Kepemimpinan dan kewirausahaan),2,0,,
1,BW6042504,Metodologi Penelitian dan Publikasi Ilmiah,2,0,,
1,CW6552022545,Sistem Pakar,2,0,COMPUTER SCIENCE,
1,CW6552012507,Pemrograman Berbasis Objek,2,0,,
1,CW6552022546,Applied Machine Learning,2,0,AI dan Data Science (AIDS),
1,CW6552021547,Praktikum Applied Machine Learning,0,0,,
1,CW6552022548,Data Engineering and Big Data Systems,2,0,,
1,CW6552021549,Praktikum Data Engineering and Big Data Systems,0,0,,
1,CW6552022550,Mathematics for AI,2,0,,
1,CW6552022541,Desain dan Analisis Algoritma,2,5,COMPUTER SCIENCE,
1,CW6552022542,Grafik Komputer,2,0,COMPUTER SCIENCE,
1,CW6552022543,Teori Bahasa dan Otomata,2,0,COMPUTER SCIENCE,
1,CP6552022544,Standarisasi Keselamatan Kerja,2,0,COMPUTER SCIENCE,
1,BW6042502,Etika Profesi,2,0,,
1,BW6042503,Technopreneurship (Kepemimpinan dan kewirausahaan),2,0,,
1,BW6042504,Metodologi Penelitian dan Publikasi Ilmiah,2,0,,
1,CW6552022545,Sistem Pakar,2,0,COMPUTER SCIENCE,
1,CW6552012507,Pemrograman Berbasis Objek,2,0,,
