;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
1;BAHASA INDONESIA;1). Menjelaskan kedudukan, fungsi, dan ragam Bahasa Indonesia;Mahasiswa mampu menjelaskan sejarah dan perkembangan Bahasa Indonesia.;;;;;;;;;;;;;
;;2). Menguasai kaidah Ejaan Bahasa Indonesia (EBI) dan tata bahasa dasar.;;Mahasiswa mampu menerapkan EBI dalam penulisan akademik;;;;;;;;;;;;
;;3). Menganalisis kalimat efektif, paragraf, dan gaya bahasa.;;;Mahasiswa mampu menyusun kalimat efektif dalam tulisan.;;;;;;;;;;;
;;4). Menyusun tulisan ilmiah sederhana sesuai kaidah penulisan akademik.;;;;Mahasiswa mampu merancang kerangka tulisan ilmiah;;;;;;;;;;
2;BAHASA INGGRIS ;1). Mahasiswa dapat memahami part of  speech dan word order dalam bahasa inggris;"Mahasiswa dapat memahami part of speech dan word order
";Mahasiswa dapat memahami part of speech dan word order;;;;;;;;;;;;
;;2).  Mahasiswa dapat memahami Pronoun dalam bahasa inggris ;"Mahasiswa dapat memahami part of speech dan word order
";Mahasiswa dapat memahami part of speech dan word order;;;;;;;;;;;;
;;3). Mahasiswa dapat menerapkan dan menjelaskan Tenses Simple Present dan Present Continuous;;;Mahasiswa dapat memahami dan menjelaskan tentang pronoun dalam penerapan bahasa inggris;;;;;;;;;;;
;;4). Mahasiswa dapat menerapkan dan Menjelaskan perbedaan Simple Past dan present Perfect;;;;Mahasiswa dapat memahami dan menjelaskan tentang tenses simple present dan present continuous pada kalimat bahasa inggris;Mahasiswa dapat memahami dan menjelaskan tentang tenses simple present dan present continuous pada kalimat bahasa inggris;;;;;;;;;
;;5). Mahasiswa dapat memahami dan menerapkan Adjective Clause ;;;;Mahasiswa dapat memahami dan menjelaskan tentang tenses simple present dan present continuous pada kalimat bahasa inggris;Mahasiswa dapat memahami dan menjelaskan tentang tenses simple present dan present continuous pada kalimat bahasa inggris;;;;;;;;;
;;6).  Mahasiswa dapat memahami vocabulary bahasa inggris di bidang teknik;;;;;;Mahasiswa memahami dan menjelaskan mengenai tenses simple past dan present perfect;Mahasiswa memahami dan menjelaskan mengenai tenses simple past dan present perfect;;;;;;;
;;7). Mahasiswa dapat memahami bahasa inggris di bidang teknik dengan reading comprehension;;;;;;Mahasiswa dapat memahami dan menjelaskan artikel atau tulisan bahasa inggris teknik dengan tema bidang informatika;Mahasiswa memahami dan menjelaskan mengenai vocabulary yang berhubungan dengan bidang teknik;;;;;;;
3;DASAR ALGORITMA & PEMOGRAMAN;1). Memahami dasar-dasar Computational Thinking dan konsep algoritma;Memahami prinsip **Decomposition**, **Pattern Recognition**, **Abstraction**, dan **Algorithm Design** dalam Computational Thinking. ;;;;;;;;;;;;;
;;2). Menyusun algoritma menggunakan pseudocode dan flowchart. ;; Menulis pseudocode dan flowchart untuk memvisualisasikan algoritma.  ;;;;;;;;;;;;
;;3). Mengimplementasikan algoritma ke dalam program Java menggunakan struktur kontrol;;;Menggunakan tipe data, variabel, dan operator dalam Java.  ;;;;;;;;;;;
;;4). Menggunakan visual programming dengan Alice untuk memperkuat pemahaman algoritma;;;;Mengaplikasikan percabangan dan perulangan untuk menyelesaikan masalah.  ;;;;;;;;;;
;;5). Melakukan debugging dan pengujian program berbasis Java.  ;;;;;Membuat program dengan fungsi dan array dalam Java.  ;Memanfaatkan **Alice** untuk memvisualisasikan algoritma;;;;;;;;
4;PRAKTIKUM DASAR ALGORITMA & PEMOGRAMAN ;1). Memahami dasar-dasar Computational Thinking dan konsep algoritma;Memahami prinsip **Decomposition**, **Pattern Recognition**, **Abstraction**, dan **Algorithm Design** dalam Computational Thinking. ;;;;;;;;;;;;;
;;2). Menyusun algoritma menggunakan pseudocode dan flowchart. ;; Menulis pseudocode dan flowchart untuk memvisualisasikan algoritma.  ;;;;;;;;;;;;
;;3). Mengimplementasikan algoritma ke dalam program Java menggunakan struktur kontrol;;;Menggunakan tipe data, variabel, dan operator dalam Java.  ;;;;;;;;;;;
;;4). Menggunakan visual programming dengan Alice untuk memperkuat pemahaman algoritma;;;;Mengaplikasikan percabangan dan perulangan untuk menyelesaikan masalah.  ;;;;;;;;;;
;;5). Melakukan debugging dan pengujian program berbasis Java.  ;;;;;Membuat program dengan fungsi dan array dalam Java.  ;Memanfaatkan **Alice** untuk memvisualisasikan algoritma;;;;;;;;
5;ILMU SOSIAL BUDAYA DASAR ;1). Menjelaskan hakikat manusia sebagai makhluk sosial dan budaya.;Mahasiswa mampu mendeskripsikan manusia dalam perspektif sosial dan budaya;;;;;;;;;;;;;
;;2). Menganalisis kebudayaan, nilai, norma, dan pranata sosial dalam masyarakat;;Mahasiswa mampu menjelaskan konsep kebudayaan dan unsur-unsurnya.;;;;;;;;;;;;
;;3). Mengidentifikasi masalah sosial budaya di masyarakat Indonesia.;;;Mahasiswa mampu menjelaskan bentuk-bentuk masalah sosial budaya (kemiskinan, konflik, diskriminasi, dsb).;;;;;;;;;;;
;;4). Menjelaskan dampak perkembangan IPTEK terhadap kehidupan sosial budaya;;;;Mahasiswa mampu menjelaskan pengaruh positif perkembangan IPTEK dalam masyarakat.;;;;;;;;;;
;;5). Menunjukkan sikap toleransi, empati, dan tanggung jawab dalam menghadapi keberagaman.;;;;;Mahasiswa mampu menunjukkan sikap menghargai perbedaan budaya dan agama.;;;;;;;;;
6;MATEMATIKA DASAR ;Setelah mengikuti mata kuliah ini mahasiswa mempunyai kompetensi matematis yang dapat diterapkan berdasarkan analisis dengan berbagai alternatif solusi pada mata kuliah keteknikarsitekturan atau mata kuliah lain yang membutuhkannya secara mandiri dan bertanggung jawab.;Mahasiswa mampu Membuat Hubungan antara satu besaran dengan besaran lainnya serta Memahami Sejumlah Operasi Aljabar;Mahasiswa Mampu Memetakan Setiap Anggota Himpunan (Domain) terhadap Himpunan Lainnya (Kodomain), ;Mahasiswa mampu menghitung serta menganalisi Finite Difference dan Interpolasi;Mahasiswa mampu menganalisis dan mengaplikasikan Teknik Solusi Integral;;;;;;;;;;
7;MATEMATIKA INFORMATIKA;1). Mahasiswa mampu menjelaskan tentang pengertian Himpunan, Diagram Venn, Operasi antar Himpunan, Aljabar Himpunan, Himpunan hingga dan perhitungan anggota, Argumen dan Diagram Venn;Mahasiswa mampu menjelaskan tentang pengertian Himpunan, Diagram Venn, Operasi antar Himpunan, Aljabar Himpunan, Himpunan hingga dan perhitungan anggota, Argumen dan Diagram Venn.;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelaskan tentang konsep dan notasi dasar  Proposisi dan Poset;;Mahasiswa mampu menjelasan tentang pengertian Relasi.;Mahasiswa mampu  menjelasan tentang pengertian fungsi.;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan tentang konsep dan notasi dasar  Proposisi dan Poset;;;;Mahasiswa mampu menjelaskan tentang konsep dan notasi dasar  Proposisi;Mahasiswa mampu menjelaskan tentang pengertian  Poset, Diagram Poset,  Supremum dan Infimum;;;;;;;;;
;;4).  Mahasiswa mampu menjelaskan penjelasan tentang definisi Latice dan pengimplementasian Aljabar;;;;;;Mahasiswa mampu menjelaskan penjelasan tentang definisi Latice,Lattice yang terbatas, Lattice Distributif, Lattice Berkomplemen;Mahasiswa mampu mengimplementasikan Aljabar Boolean pada sistem.;;;;;;;
